s,C
Time,"CENTER_TEMP"
 3.7143312E+001, 7.3919236E+002
 3.7205003E+001, 6.8767352E+002
 3.7266693E+001, 6.7336355E+002
 3.7328384E+001, 5.3928548E+002
 3.7390075E+001, 5.5948905E+002
 3.7451765E+001, 5.5686002E+002
 3.7513456E+001, 5.1759558E+002
 3.7575146E+001, 5.5915890E+002
 3.7621414E+001, 7.2839622E+002
 3.7683105E+001, 7.6618140E+002
 3.7744796E+001, 6.3703933E+002
 3.7806486E+001, 3.9931175E+002
 3.7868177E+001, 3.6080350E+002
 3.7929867E+001, 4.2249367E+002
 3.7991558E+001, 4.2832141E+002
 3.8048899E+001, 4.9132678E+002
 3.8104538E+001, 6.4794428E+002
 3.8162828E+001, 7.0392960E+002
 3.8221117E+001, 6.8355285E+002
 3.8293979E+001, 6.2486138E+002
 3.8352268E+001, 6.2377406E+002
 3.8410558E+001, 5.7046028E+002
 3.8468847E+001, 5.9291534E+002
 3.8527137E+001, 6.2034092E+002
 3.8592293E+001, 6.1017154E+002
 3.8648328E+001, 3.5676283E+002
 3.8705666E+001, 2.2473246E+002
 3.8763004E+001, 2.5963015E+002
 3.8826383E+001, 4.8085781E+002
 3.8880888E+001, 6.7233433E+002
 3.8940845E+001, 8.0213983E+002
 3.9002195E+001, 7.1592707E+002
 3.9063546E+001, 5.8026923E+002
 3.9124896E+001, 5.8153765E+002
 3.9186247E+001, 3.6514904E+002
 3.9241703E+001, 2.2857006E+002
 3.9308569E+001, 1.6261191E+002
 3.9362061E+001, 2.5792165E+002
 3.9432938E+001, 6.5398010E+002
 3.9491780E+001, 7.0641373E+002
 3.9550621E+001, 7.2728127E+002
 3.9602563E+001, 6.1138021E+002
 3.9670820E+001, 5.2634927E+002
 3.9722230E+001, 5.5278176E+002
 3.9782499E+001, 5.8872309E+002
 3.9850121E+001, 6.3793720E+002
 3.9908462E+001, 5.5989491E+002
 3.9966802E+001, 4.8657081E+002
 4.0025142E+001, 4.7101603E+002
 4.0083483E+001, 4.7935122E+002
 4.0141823E+001, 5.6654446E+002
 4.0200164E+001, 6.2677031E+002
 4.0273089E+001, 6.3112208E+002
 4.0331429E+001, 5.3957472E+002
 4.0389770E+001, 5.3747294E+002
 4.0448110E+001, 5.7158465E+002
 4.0507909E+001, 4.6608745E+002
 4.0572083E+001, 3.8855998E+002
 4.0620214E+001, 3.5641724E+002
 4.0684389E+001, 3.9619371E+002
 4.0748563E+001, 4.7064652E+002
 4.0812738E+001, 6.4068660E+002
 4.0871412E+001, 8.2789372E+002
 4.0928254E+001, 7.9201969E+002
 4.0985095E+001, 6.8909287E+002
 4.1041937E+001, 5.4438794E+002
 4.1112988E+001, 3.4025174E+002
 4.1169830E+001, 2.3921506E+002
 4.1226671E+001, 2.7409249E+002
 4.1283513E+001, 5.0147255E+002
 4.1340354E+001, 7.6820761E+002
 4.1400038E+001, 7.5123539E+002
 4.1462563E+001, 7.8432368E+002
 4.1525089E+001, 8.0093996E+002
 4.1587614E+001, 7.6671409E+002
 4.1642269E+001, 8.3180683E+002
 4.1710587E+001, 7.9570126E+002
