s,C
Time,"T air 1"
 2.5505653E+001, 4.2350958E+002
 2.5565866E+001, 3.7054308E+002
 2.5627505E+001, 3.4050847E+002
 2.5684777E+001, 3.2712566E+002
 2.5742049E+001, 3.2211670E+002
 2.5813638E+001, 3.3214719E+002
 2.5870910E+001, 3.5008074E+002
 2.5928182E+001, 3.7098227E+002
 2.5980458E+001, 3.8232433E+002
 2.6051377E+001, 3.8999575E+002
 2.6102202E+001, 3.8189304E+002
 2.6167211E+001, 3.5941115E+002
 2.6227829E+001, 3.5352525E+002
 2.6291289E+001, 3.6190367E+002
 2.6342056E+001, 3.6731232E+002
 2.6409323E+001, 3.6621428E+002
 2.6465167E+001, 3.5916470E+002
 2.6521012E+001, 3.5047850E+002
 2.6590817E+001, 3.4044135E+002
 2.6646661E+001, 3.3155351E+002
 2.6708090E+001, 3.2773485E+002
 2.6769519E+001, 3.2720641E+002
 2.6830947E+001, 3.2703612E+002
 2.6892376E+001, 3.2919219E+002
 2.6953805E+001, 3.3044161E+002
 2.7008773E+001, 3.2638735E+002
 2.7063741E+001, 3.2049863E+002
 2.7132451E+001, 3.1336034E+002
 2.7187420E+001, 3.1003732E+002
 2.7242388E+001, 3.1232696E+002
 2.7311098E+001, 3.2111821E+002
 2.7366066E+001, 3.3008374E+002
 2.7421035E+001, 3.3440295E+002
 2.7490748E+001, 3.3388140E+002
 2.7540221E+001, 3.2994064E+002
 2.7602063E+001, 3.5283670E+002
 2.7663906E+001, 3.9441527E+002
 2.7725748E+001, 3.8577240E+002
 2.7787590E+001, 3.5286130E+002
 2.7849432E+001, 3.2932117E+002
 2.7911274E+001, 3.1628604E+002
 2.7961985E+001, 3.0984859E+002
 2.8030011E+001, 3.0411491E+002
 2.8084432E+001, 2.9970933E+002
 2.8144295E+001, 3.1134107E+002
 2.8204159E+001, 3.3894301E+002
 2.8264022E+001, 3.5512628E+002
 2.8323885E+001, 3.6100653E+002
 2.8383748E+001, 3.5688912E+002
 2.8443611E+001, 3.4802741E+002
 2.8503475E+001, 3.3690583E+002
 2.8561725E+001, 3.3047131E+002
 2.8628490E+001, 3.2655528E+002
 2.8681902E+001, 3.2671083E+002
 2.8740655E+001, 3.4104760E+002
 2.8814097E+001, 3.7255874E+002
 2.8872850E+001, 3.7202747E+002
 2.8931603E+001, 3.4928758E+002
 2.8984811E+001, 3.4126518E+002
 2.9049010E+001, 3.4079306E+002
 2.9100369E+001, 3.3586042E+002
 2.9164568E+001, 3.2499819E+002
 2.9228767E+001, 3.1549403E+002
 2.9280126E+001, 3.3958047E+002
 2.9345609E+001, 3.7343371E+002
 2.9402104E+001, 3.5912698E+002
 2.9471041E+001, 3.5584865E+002
 2.9520808E+001, 3.6803648E+002
 2.9585505E+001, 3.6880490E+002
 2.9640249E+001, 3.6822815E+002
 2.9708678E+001, 3.7765892E+002
 2.9763422E+001, 3.7879868E+002
 2.9831851E+001, 3.6339280E+002
 2.9886595E+001, 3.4598080E+002
 2.9941339E+001, 3.3997909E+002
 3.0009768E+001, 3.3525297E+002
 3.0064512E+001, 3.2314997E+002
 3.0132941E+001, 3.0836004E+002
 3.0187685E+001, 2.9476625E+002
 3.0243797E+001, 2.8500648E+002
 3.0304015E+001, 2.7935145E+002
 3.0364233E+001, 2.9514231E+002
 3.0424451E+001, 3.3292083E+002
 3.0484669E+001, 3.5487207E+002
 3.0540160E+001, 3.5020300E+002
 3.0607554E+001, 3.3291855E+002
 3.0661469E+001, 3.3012406E+002
 3.0728862E+001, 3.6471860E+002
 3.0782203E+001, 4.0048512E+002
 3.0844359E+001, 4.1103648E+002
 3.0913624E+001, 3.9801561E+002
 3.0969036E+001, 3.7596286E+002
 3.1024447E+001, 3.6621603E+002
 3.1093712E+001, 3.5584880E+002
 3.1149124E+001, 3.4200427E+002
 3.1204536E+001, 3.2696143E+002
 3.1265489E+001, 3.1627683E+002
 3.1326442E+001, 3.1733189E+002
 3.1387395E+001, 3.2218417E+002
 3.1448348E+001, 3.1746504E+002
 3.1509301E+001, 3.1040134E+002
 3.1570254E+001, 3.1082207E+002
 3.1628109E+001, 3.1156131E+002
 3.1682866E+001, 3.0778855E+002
 3.1743098E+001, 3.0327061E+002
 3.1803331E+001, 3.0255386E+002
 3.1863563E+001, 3.0415126E+002
 3.1923796E+001, 3.0556650E+002
 3.1984029E+001, 3.0463120E+002
 3.2044261E+001, 3.0299057E+002
 3.2104494E+001, 3.0461788E+002
 3.2164727E+001, 3.1568773E+002
 3.2227971E+001, 3.2658344E+002
 3.2294227E+001, 3.2859038E+002
 3.2354492E+001, 3.2629736E+002
 3.2412761E+001, 3.2067943E+002
 3.2471029E+001, 3.1687458E+002
 3.2524866E+001, 3.1426999E+002
 3.2587038E+001, 3.1202359E+002
 3.2644292E+001, 3.0984131E+002
 3.2703837E+001, 3.0769445E+002
 3.2766818E+001, 3.0475259E+002
 3.2831058E+001, 3.0172271E+002
 3.2886480E+001, 2.9924261E+002
 3.2943288E+001, 2.9736295E+002
 3.3004253E+001, 2.9572444E+002
 3.3065218E+001, 2.9730440E+002
 3.3126183E+001, 3.1311894E+002
 3.3187148E+001, 3.5359594E+002
 3.3248113E+001, 3.6399380E+002
 3.3301547E+001, 3.6098396E+002
 3.3372347E+001, 3.4878404E+002
 3.3431124E+001, 3.2710305E+002
 3.3485490E+001, 3.1406954E+002
 3.3541031E+001, 3.1201337E+002
 3.3613763E+001, 3.4740015E+002
 3.3671948E+001, 4.4570617E+002
 3.3730133E+001, 4.7374023E+002
 3.3786578E+001, 4.7112765E+002
 3.3851885E+001, 4.4995589E+002
 3.3908229E+001, 4.2440236E+002
 3.3964572E+001, 3.9911708E+002
 3.4023733E+001, 3.7408847E+002
 3.4085711E+001, 3.4496757E+002
 3.4143440E+001, 3.2693378E+002
 3.4205959E+001, 3.1877010E+002
 3.4272127E+001, 3.0577235E+002
 3.4323548E+001, 2.8940746E+002
 3.4387823E+001, 2.8132102E+002
 3.4452098E+001, 2.8040206E+002
 3.4503519E+001, 2.8673282E+002
 3.4567794E+001, 3.0859816E+002
 3.4624356E+001, 3.2884318E+002
 3.4680918E+001, 3.3473827E+002
 3.4751621E+001, 3.3460094E+002
 3.4808184E+001, 3.3171913E+002
 3.4864746E+001, 3.2717358E+002
 3.4921308E+001, 3.2400411E+002
 3.4992011E+001, 3.2124197E+002
 3.5048573E+001, 3.1700411E+002
 3.5105136E+001, 3.1530356E+002
 3.5161698E+001, 3.1347467E+002
 3.5232401E+001, 3.1707606E+002
 3.5288963E+001, 3.3461425E+002
 3.5344109E+001, 3.3488015E+002
 3.5407731E+001, 3.5419226E+002
 3.5471352E+001, 4.0560652E+002
 3.5522249E+001, 3.9628604E+002
 3.5589688E+001, 3.5972743E+002
 3.5645675E+001, 3.2169762E+002
 3.5701662E+001, 3.0485880E+002
 3.5771646E+001, 2.9739075E+002
 3.5827633E+001, 2.9406163E+002
 3.5887819E+001, 2.9271148E+002
 3.5949405E+001, 2.9228922E+002
 3.6010990E+001, 2.9335388E+002
 3.6072576E+001, 3.0146202E+002
 3.6134162E+001, 3.1658510E+002
 3.6180351E+001, 3.2349224E+002
 3.6241937E+001, 3.2486462E+002
 3.6303522E+001, 3.3476563E+002
 3.6365108E+001, 3.4945134E+002
 3.6426694E+001, 3.4236553E+002
 3.6488280E+001, 3.3796490E+002
 3.6548027E+001, 3.4332163E+002
 3.6610329E+001, 3.5421051E+002
 3.6662850E+001, 3.5902966E+002
 3.6721830E+001, 3.5378193E+002
 3.6780810E+001, 3.4873893E+002
 3.6848047E+001, 3.4702168E+002
 3.6900538E+001, 3.4624991E+002
 3.6966152E+001, 3.4300813E+002
 3.7031766E+001, 3.3806919E+002
 3.7088194E+001, 3.3249612E+002
 3.7145934E+001, 3.2720143E+002
 3.7203675E+001, 3.2095465E+002
 3.7261415E+001, 3.1484407E+002
 3.7324930E+001, 3.0959135E+002
 3.7388444E+001, 3.0564467E+002
 3.7451958E+001, 3.0231997E+002
 3.7515473E+001, 2.9883708E+002
 3.7563109E+001, 2.9487463E+002
 3.7626623E+001, 2.8999535E+002
 3.7690137E+001, 2.8439310E+002
 3.7751902E+001, 2.8238825E+002
