s,C,mol/mol,mol/mol
Time,"TEMP_KITCHEN","O2_KITCHEN","CO_KITCHEN"
 4.5720183E+001, 6.1222495E+002, 1.3980816E-001, 8.8710478E-004
 4.5903980E+001, 6.7663032E+002, 1.3159019E-001, 9.9467743E-004
 4.6084722E+001, 3.5669314E+002, 1.6549349E-001, 5.5105141E-004
 4.6269786E+001, 3.0588640E+002, 1.7055374E-001, 4.8478931E-004
 4.6444027E+001, 3.2138170E+002, 1.6970323E-001, 4.9593870E-004
 4.6628693E+001, 5.1516257E+002, 1.4700666E-001, 7.9301796E-004
 4.6800619E+001, 4.0219545E+002, 1.6151687E-001, 6.0323123E-004
 4.6984007E+001, 5.1205842E+002, 1.4964268E-001, 7.5838291E-004
 4.7169524E+001, 5.0096051E+002, 1.5005143E-001, 7.5294405E-004
 4.7348647E+001, 3.1121624E+002, 1.6987902E-001, 4.9366335E-004
 4.7521977E+001, 4.0060897E+002, 1.5959566E-001, 6.2780021E-004
 4.7700725E+001, 3.2028782E+002, 1.6881534E-001, 5.0756658E-004
 4.7883911E+001, 5.4166076E+002, 1.4513378E-001, 8.1699284E-004
 4.8065388E+001, 6.0093976E+002, 1.3585349E-001, 9.3751774E-004
 4.8247332E+001, 3.4265366E+002, 1.6477453E-001, 5.6023575E-004
 4.8422572E+001, 3.1886619E+002, 1.6803476E-001, 5.1777711E-004
 4.8601643E+001, 3.2715178E+002, 1.6780213E-001, 5.2087783E-004
 4.8783903E+001, 3.8886932E+002, 1.6092487E-001, 6.1057331E-004
 4.8970294E+001, 7.4949738E+002, 1.2372764E-001, 1.0968879E-003
 4.9150569E+001, 5.3879764E+002, 1.4677799E-001, 7.9563133E-004
 4.9324568E+001, 3.6982085E+002, 1.6466270E-001, 5.6195332E-004
 4.9501863E+001, 3.0056181E+002, 1.7083568E-001, 4.8115324E-004
 4.9692183E+001, 2.8134665E+002, 1.7261145E-001, 4.5786051E-004
 4.9860181E+001, 6.2220747E+002, 1.3596543E-001, 9.3727426E-004
 5.0049089E+001, 7.3746348E+002, 1.2594350E-001, 1.0675910E-003
 5.0224498E+001, 3.5758760E+002, 1.6731055E-001, 5.2730722E-004
 5.0406729E+001, 2.9712636E+002, 1.7258117E-001, 4.5827996E-004
 5.0583601E+001, 2.8541079E+002, 1.7302179E-001, 4.5251454E-004
 5.0760386E+001, 3.9558612E+002, 1.5937998E-001, 6.3029428E-004
 5.0948361E+001, 4.0405426E+002, 1.5704207E-001, 6.6142143E-004
 5.1123778E+001, 2.9513078E+002, 1.6889675E-001, 5.0654029E-004
 5.1302941E+001, 2.7424703E+002, 1.7141185E-001, 4.7360744E-004
 5.1488426E+001, 2.7851301E+002, 1.7119730E-001, 4.7642073E-004
